,Rooms,Furnishing,Bathroom,Availability,Carpet Area,Floor,Price,Location
422,1,Semi-Furnished,1,Immediately,510.0,14,30000.0,"Mumbai  Expressway, "
423,1,Unfurnished,1,Immediately,520.0,15,26000.0,"Mumbai  Expressway, "
424,2,Furnished,2,Immediately,825.0,3,40000.0,"Magarpatta, "
425,1,Furnished,1,Immediately,825.0,3,0.0,"Bhosari, "
426,3,Semi-Furnished,3,Immediately,2000.0,2,75000.0,"EON Free Zone, Kharadi, "
427,2,Unfurnished,2,Immediately,825.0,6,7500.0,"Uruli Devachi, "
428,3,Semi-Furnished,3,Immediately,1350.0,9,70000.0,"Pan Card Club Road, "
429,1,Unfurnished,2,Immediately,825.0,5,21700.0,"Hadapsar, "
430,1,Unfurnished,1,Immediately,825.0,4,11000.0,"Hadapsar, "
431,2,Unfurnished,2,Immediately,950.0,2,50000.0,
432,1,Furnished,1,Immediately,480.0,3,30000.0,"Kalyani Nagar, "
433,3,Semi-Furnished,3,Immediately,1278.0,10,32000.0,"Wakad, "
434,1,Semi-Furnished,1,Immediately,500.0,8,23500.0,"Kharadi, "
435,4,Unfurnished,4,Immediately,3000.0,3,190000.0,"Boat Club Road, "
436,4,Furnished,6,Immediately,2560.0,0,170000.0,"Pimple Nilakh, Pimpri Chinchwad, "
437,2,Unfurnished,2,Immediately,900.0,1,35000.0,"Balewadi, "
438,3,Unfurnished,3,Immediately,1200.0,3,30000.0,"Pimple Saudagar, Pimpri Chinchwad, "
439,2,Furnished,2,Immediately,825.0,7,45000.0,"Viman Nagar, "
440,2,Unfurnished,2,Immediately,720.0,10,23000.0,"Hinjawadi, "
441,1,Semi-Furnished,1,Immediately,450.0,4,23500.0,"Hadapsar, "
442,3,Semi-Furnished,4,Immediately,825.0,4,100000.0,"Koregaon Park, "
443,2,Semi-Furnished,2,Immediately,750.0,25,22000.0,"Punvale Bazar, "
444,1,Semi-Furnished,1,Immediately,460.0,0,19000.0,"Mahalunge, "
445,3,Unfurnished,3,From Apr '25,1250.0,5,62000.0,"Model Colony, Shivaji Nagar, "
446,2,Semi-Furnished,2,Immediately,750.0,2,31000.0,"Kharadi, "
447,2,Furnished,2,Immediately,873.0,12,39500.0,"Balewadi, "
448,3,Semi-Furnished,2,Immediately,825.0,4,28000.0,"Punawale, Pimpri Chinchwad, "
449,3,Unfurnished,3,Immediately,1193.0,5,43000.0,"Vishrantwadi, Airport Road, "
