,Rooms,Furnishing,Bathroom,Tenant Preferred,Availability,Carpet Area,Floor,Price
419,"3 BHK Flat for Rent in Magarpatta, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,,Floor7 out of 11,"₹42,000"
420,"2 BHK Flat for Rent in Wanowrie, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area1020 sqft,Floor1 out of 7,"₹28,000"
421,"1 BHK Flat for Rent in Mumbai Pune Expressway, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area510 sqft,Floor12 out of 24,"₹24,000"
422,"1 BHK Flat for Rent in Mumbai Pune Expressway, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area510 sqft,Floor14 out of 23,"₹30,000"
423,"1 BHK Flat for Rent in Mumbai Pune Expressway, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area520 sqft,Floor15 out of 22,"₹26,000"
424,"2 BHK Flat for Rent in Magarpatta, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor3 out of 7,"₹40,000"
425,"1 BHK Flat for Rent in Bhosari, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,,Floor3 out of 4,Call for Price
426,"3 BHK Flat for Rent in EON Free Zone, Kharadi, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area2000 sqft,Floor2 out of 2,"₹75,000"
427,"2 BHK Flat for Rent in Uruli Devachi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor6 out of 9,"₹7,500"
428,"3 BHK Flat for Rent in Pan Card Club Road, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1350 sqft,Floor9 out of 22,"₹70,000"
429,"1 BHK Flat for Rent in Hadapsar, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor5 out of 11,"₹21,700"
430,"1 BHK Flat for Rent in Hadapsar, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor4 out of 4,"₹11,000"
431,2 BHK Flat for Rent in Pune,FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area950 sqft,Floor2 out of 7,"₹50,000"
432,"1 BHK Flat for Rent in Kalyani Nagar, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area480 sqft,Floor3 out of 8,"₹30,000"
433,"3 BHK Flat for Rent in Wakad, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1278 sqft,Floor10 out of 12,"₹32,000"
